# Paso ID Masa X Y Vx Vy
2 39 33.11015721 883.28026070 416.50994954 -0.00005825 0.00019283
2 40 90.77601631 356.29784368 122.08795727 0.00010859 0.00019654
2 41 1.05151728 647.69011653 272.13224841 -0.00034681 0.00003510
2 42 17.30092920 304.78126281 352.56885665 0.00020192 0.00018742
2 43 69.55116717 484.82997463 534.08942482 -0.00009592 0.00011906
2 44 17.66081356 244.12552496 269.41233334 0.00021541 -0.00000342
2 45 40.97978112 558.10200024 218.76423066 -0.00010080 0.00038303
2 46 25.44073031 253.91541063 64.89224228 -0.00010912 -0.00022104
2 47 15.66060595 712.27056877 696.30426558 -0.00097485 -0.00025063
2 48 97.68488029 266.78101793 997.74048594 0.00010675 -0.00021282
2 49 35.16205361 33.05074265 411.03702501 0.00033473 0.00028365

3 0 78.18940876 183.43479026 796.54297905 0.00009455 -0.00020970
3 1 10.89751713 445.83276768 596.85015384 0.00040537 -0.00030980
3 2 15.14381463 333.70864199 459.24888382 0.00121874 -0.00016136
3 3 72.47787839 56.41158417 650.88846873 0.00030843 -0.00018777
3 4 99.22894486 0.77877075 938.55270992 0.00023938 -0.00017837
3 5 1.69956456 611.65316076 617.48153640 -0.00006824 0.00115966
3 6 40.58623680 524.77465939 23.06243853 -0.00009730 0.00039860
3 7 24.04436270 973.75551900 46.66567226 -0.00013854 0.00015875
3 8 38.86373701 618.38600773 90.60644081 -0.00028206 0.00021079
3 9 86.13409991 466.76290573 983.23087552 0.00028393 -0.00041677
3 10 2.31323085 450.49926024 680.30754153 0.00027395 0.00010716
3 11 39.15623412 563.28826893 942.20174994 0.00215409 -0.00017428
3 12 24.86152145 230.89376924 15.96626788 -0.00206166 0.00041983
3 13 83.48629641 609.99666454 683.26353026 0.00031419 0.00023835
3 14 19.04137260 391.06059966 173.36463124 -0.00039692 -0.00063884
3 15 21.58622472 425.15588241 755.36140542 0.00019894 -0.00013694
3 16 84.38619253 31.31330161 567.70033584 0.00039281 0.00034291
3 17 92.73922736 395.15023150 449.75409953 -0.00000610 -0.00118325
3 18 57.47395362 326.54077549 727.27199611 0.00015482 -0.00000018
3 19 84.60885120 961.17202089 520.83426957 -0.00031183 0.00014208
3 20 59.08836569 539.69214714 747.32011156 0.00070419 0.00002222
3 21 28.32391921 607.03419894 965.25520087 -0.00204204 -0.00439879
3 22 2.54800409 165.26694891 296.27350969 0.00029681 0.00013625
3 23 30.05532946 394.88151772 423.40159136 0.00003392 0.00457277
3 24 71.42285296 198.84243188 14.07983336 0.00114719 0.00038924
3 25 92.70378692 605.95997144 790.17552598 -0.00036096 -0.00037746
3 26 85.15381895 914.95966963 651.07702675 -0.00023202 -0.00015159
3 27 37.71100725 95.41011423 449.45067823 -0.00007437 0.00015394
3 28 59.53848078 665.92232493 668.84126981 -0.00109052 0.00050980
3 29 38.90976057 561.24341833 274.72178214 -0.00018670 -0.00037123
3 30 72.45122229 848.91381274 971.71208846 -0.00025976 -0.00019595
3 31 5.00292559 256.06832461 235.98493187 0.00009298 0.00050435
3 32 44.49431423 110.89082707 710.66288385 0.00002125 -0.00024131
3 33 48.06165225 895.76359464 201.71920939 -0.00014083 0.00012302
3 34 14.79381392 695.51607226 563.27558594 -0.00032903 0.00044622
3 35 21.10306174 539.84108815 604.41738273 -0.00003491 0.00020217
3 36 69.78370867 598.86544838 942.85359367 -0.00069450 0.00083340
3 37 30.26773512 624.35402782 880.46784140 -0.00066430 0.00011936
